<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AACI.US,D,20250624,000000,10,10.1,10,10.04,358460,0
AACI.US,D,20250625,000000,10.0301,10.035,10.03,10.03,395024,0
AACI.US,D,20250626,000000,10.0275,10.03,10.025,10.03,410628,0
AACI.US,D,20250627,000000,10.03,10.03,10.03,10.03,14268,0
AACI.US,D,20250630,000000,10.03,10.055,10.03,10.05,49395,0
AACI.US,D,20250701,000000,10.03,10.05,10.03,10.04,238753,0
AACI.US,D,20250702,000000,10.0292,10.05,10.0292,10.0354,131624,0
AACI.US,D,20250703,000000,10.0305,10.035,10.0305,10.035,32128,0
AACI.US,D,20250707,000000,10.03,10.04,10.03,10.04,187114,0
AACI.US,D,20250708,000000,10.05,10.05,10.035,10.035,1526,0
AACI.US,D,20250709,000000,10.08,10.08,10.04,10.04,103672,0
