<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AIRO.US,D,20250613,000000,12.9,39.07,12.9,24,14713420,0
AIRO.US,D,20250616,000000,34.98,37.925,28.6,31,11880751,0
AIRO.US,D,20250617,000000,32.22,32.97,28.2701,29.76,4026881,0
AIRO.US,D,20250618,000000,29,29.4939,26.0001,26.26,2770878,0
AIRO.US,D,20250620,000000,25.12,25.5,20.4,22.24,3072900,0
AIRO.US,D,20250623,000000,21.4,28.55,20.28,26.9,4818869,0
AIRO.US,D,20250624,000000,26.76,27.15,23.5001,24.27,2256018,0
AIRO.US,D,20250625,000000,24.91,25.7299,21.61,21.9,2425871,0
AIRO.US,D,20250626,000000,22.51,26.5,22.51,25.26,2398100,0
AIRO.US,D,20250627,000000,25,27.523185,22.8,23.33,1644396,0
AIRO.US,D,20250630,000000,24.02,25.48,22.5308,24.07,1213751,0
AIRO.US,D,20250701,000000,23.8,23.8301,22.098,22.245,1783594,0
AIRO.US,D,20250702,000000,22.425,22.425,20.82,21.62,983652,0
AIRO.US,D,20250703,000000,22.5,22.5693,20.9,21.9,788732,0
AIRO.US,D,20250707,000000,22.5,22.8253,20.6,21.29,677769,0
AIRO.US,D,20250708,000000,21.29,21.9436,20.85,21.67,581424,0
AIRO.US,D,20250709,000000,21.64,22.194,20.81,21.48,762576,0
