<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CAI.US,D,20250618,000000,27,29.4,25.56,28,15347884,0
CAI.US,D,20250620,000000,30.67,30.7,25.87,27.25,5300428,0
CAI.US,D,20250623,000000,26.6,27.09,25.65,25.94,2302902,0
CAI.US,D,20250624,000000,26.47,28.1149,26.45,27.7,1767105,0
CAI.US,D,20250625,000000,27.5,28,26.1,26.43,934564,0
CAI.US,D,20250626,000000,26.44,27.24,26.34,26.75,699312,0
CAI.US,D,20250627,000000,26.52,26.98,26.31,26.81,536020,0
CAI.US,D,20250630,000000,26.5,26.89,26.33,26.72,972829,0
CAI.US,D,20250701,000000,26.5,27.09,25.94,26.51,884664,0
CAI.US,D,20250702,000000,26.5,26.73,25.92,26.72,467654,0
CAI.US,D,20250703,000000,26.8,26.8,25.8,26.54,498976,0
CAI.US,D,20250707,000000,26.02,26.56,25.4001,26.53,630647,0
CAI.US,D,20250708,000000,26.23,27.03,26.01,26.29,714791,0
CAI.US,D,20250709,000000,26.46,27.31,26.095,27.24,407769,0
