<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CCCMW.US,D,20250610,000000,0.5,0.8,0.45,0.45,65651,0
CCCMW.US,D,20250611,000000,0.4906,1.63,0.4201,0.7,737160,0
CCCMW.US,D,20250612,000000,0.71,0.874501,0.71,0.795,185301,0
CCCMW.US,D,20250613,000000,2.06,2.45,1.86,2.16,1471812,0
CCCMW.US,D,20250616,000000,2.64,2.6876,2.1,2.5,544077,0
CCCMW.US,D,20250617,000000,2.49,2.98,2.21,2.7639,456906,0
CCCMW.US,D,20250618,000000,2.9,2.967,2.6,2.72,226177,0
CCCMW.US,D,20250620,000000,2.96,3.05,2.44,2.795,236582,0
CCCMW.US,D,20250623,000000,2.61,2.6989,2.16,2.38,2159499,0
CCCMW.US,D,20250624,000000,2.39,2.39,2.1,2.15,522626,0
CCCMW.US,D,20250625,000000,1.8603,2.33,1.6501,2.05,1104232,0
CCCMW.US,D,20250626,000000,2.18,2.18,1.7,2,175751,0
CCCMW.US,D,20250627,000000,2,2.06,1.9,2,391903,0
CCCMW.US,D,20250630,000000,1.89,1.9499,1.61,1.66,56866,0
CCCMW.US,D,20250701,000000,1.7,1.84,1.68,1.8,110521,0
CCCMW.US,D,20250702,000000,1.7726,1.8,1.67,1.72,127765,0
CCCMW.US,D,20250703,000000,1.76,1.88,1.57,1.72,25629,0
CCCMW.US,D,20250707,000000,1.67,1.73,1.61,1.61,33912,0
CCCMW.US,D,20250708,000000,1.65,1.75,1.62,1.62,130801,0
CCCMW.US,D,20250709,000000,1.7,1.93,1.67,1.75,243166,0
