<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HCHL.US,D,20250624,000000,6.75,7.25,4.5,5,2899029,0
HCHL.US,D,20250625,000000,5.22,5.85,5.05,5.38,495688,0
HCHL.US,D,20250626,000000,5.2,5.38,4.79,5.2,486246,0
HCHL.US,D,20250627,000000,5.25,5.41,5.02,5.09,234703,0
HCHL.US,D,20250630,000000,5.36,5.4,4.68,5.13,575117,0
HCHL.US,D,20250701,000000,5.14,5.7,4.97,5.598,668480,0
HCHL.US,D,20250702,000000,5.38,5.78,5.38,5.38,284427,0
HCHL.US,D,20250703,000000,5.4201,5.66,5.3411,5.4401,263791,0
HCHL.US,D,20250707,000000,5.39,5.51,5,5.1128,167710,0
HCHL.US,D,20250708,000000,5.1127,5.2436,4.92,5.125,164792,0
HCHL.US,D,20250709,000000,5.14,5.38,4.912,5.17,107458,0
