<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IPODW.US,D,20250612,000000,0.21,0.249,0.16,0.18,1322593,0
IPODW.US,D,20250613,000000,0.224,0.247,0.17,0.17,197923,0
IPODW.US,D,20250616,000000,0.18,0.23,0.18,0.23,340043,0
IPODW.US,D,20250618,000000,0.229,0.2301,0.229,0.2301,6274,0
IPODW.US,D,20250620,000000,0.23,0.23,0.2004,0.23,23747,0
IPODW.US,D,20250623,000000,0.23,0.23,0.23,0.23,1500,0
IPODW.US,D,20250624,000000,0.2404,0.25,0.23,0.23,20904,0
IPODW.US,D,20250625,000000,0.2527,0.27,0.207,0.207,21868,0
IPODW.US,D,20250626,000000,0.22,0.22,0.1901,0.1901,12552,0
IPODW.US,D,20250627,000000,0.1901,0.2,0.19,0.19,13224,0
IPODW.US,D,20250630,000000,0.19,0.195,0.1899,0.19,72536,0
IPODW.US,D,20250701,000000,0.2,0.21,0.19,0.19,18226,0
IPODW.US,D,20250702,000000,0.19,0.19,0.19,0.19,18093,0
IPODW.US,D,20250703,000000,0.19,0.19,0.19,0.19,1669,0
IPODW.US,D,20250707,000000,0.18,0.19,0.18,0.19,11800,0
IPODW.US,D,20250708,000000,0.19,0.2,0.19,0.19,30339,0
IPODW.US,D,20250709,000000,0.18,0.18,0.175,0.18,15100,0
