<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LWACU.US,D,20250625,000000,10.05,10.0699,10.03,10.03,9274935,0
LWACU.US,D,20250626,000000,10.04,10.05,10.03,10.05,379855,0
LWACU.US,D,20250627,000000,10.05,10.05,10.03,10.03,216717,0
LWACU.US,D,20250630,000000,10.0184,10.07,10.0184,10.06,306784,0
LWACU.US,D,20250701,000000,10.0652,10.0652,10.03,10.03,209561,0
LWACU.US,D,20250702,000000,10.025,10.03,10.02,10.03,209611,0
LWACU.US,D,20250703,000000,10.01,10.04,10,10.025,533012,0
LWACU.US,D,20250707,000000,10.03,10.03,10.03,10.03,951,0
LWACU.US,D,20250708,000000,10.0201,10.0207,10.02,10.02,6921,0
LWACU.US,D,20250709,000000,10.0201,10.03,10.01,10.02,628863,0
