<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MSDD.US,D,20250610,000000,24.93,25.1373,24.8,25.1373,224,0
MSDD.US,D,20250612,000000,25.849,26.6047,25.17,26.6047,580,0
MSDD.US,D,20250613,000000,27.45,27.45,26.2506,26.2506,703,0
MSDD.US,D,20250616,000000,26.64,26.8,26.2577,26.2577,1490,0
MSDD.US,D,20250620,000000,28.06,28.06,27.9482,27.9482,494,0
MSDD.US,D,20250624,000000,26.11,26.9348,26.11,26.9348,1368,0
MSDD.US,D,20250625,000000,26,26,25.21,25.21,781,0
MSDD.US,D,20250627,000000,25.75,25.75,25.709,25.709,284,0
MSDD.US,D,20250630,000000,22.76,23.1575,22.76,23.1575,219,0
MSDD.US,D,20250701,000000,26.32,26.5636,26.32,26.5636,324,0
MSDD.US,D,20250702,000000,25.09,25.1,22.5736,22.5736,1678,0
MSDD.US,D,20250703,000000,22.47,22.47,22.3919,22.3919,3120,0
MSDD.US,D,20250707,000000,22.45,23.1006,22.45,23.1006,1290,0
MSDD.US,D,20250708,000000,23.06,23.34,22.99,23.0196,2753,0
