<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MSTP.US,D,20250610,000000,25.08,25.22,24.54,24.8899,2936,0
MSTP.US,D,20250611,000000,24.6,24.97,23.785,24.3021,4086,0
MSTP.US,D,20250612,000000,24.22,24.77,23.3751,23.3751,722,0
MSTP.US,D,20250613,000000,22.641,23.6613,22.641,23.6613,4989,0
MSTP.US,D,20250617,000000,23.01,23.01,21.97,22.7638,2909,0
MSTP.US,D,20250618,000000,22.38,22.4499,21.94,22.0294,7418,0
MSTP.US,D,20250620,000000,22.19,22.38,22.0352,22.0352,1778,0
MSTP.US,D,20250623,000000,21.52,21.97,21.2201,21.7822,6491,0
MSTP.US,D,20250624,000000,22.88,23.49,22.75,22.7756,1780,0
MSTP.US,D,20250625,000000,23.72,24.2089,23.48,24.2089,501,0
MSTP.US,D,20250626,000000,24.42,24.42,24,24.0144,4252,0
MSTP.US,D,20250627,000000,24.3,24.3,23.6727,23.6727,1192,0
MSTP.US,D,20250630,000000,24.85,26.03,24.85,26.03,925,0
MSTP.US,D,20250701,000000,24.3812,24.3812,22.0995,22.0995,2030,0
MSTP.US,D,20250702,000000,23.38,25.6579,23.33,25.5097,2551,0
MSTP.US,D,20250703,000000,25.7,26.34,25.5828,25.5828,1488,0
MSTP.US,D,20250707,000000,25.42,25.42,24.5584,24.5584,1735,0
MSTP.US,D,20250708,000000,24.57,24.93,24.33,24.6895,6339,0
MSTP.US,D,20250709,000000,24.9,25.97,24.9,25.97,1231,0
