<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NAMM.US,D,20250610,000000,20.51,22,19.31,19.86,108290,0
NAMM.US,D,20250611,000000,19.62,19.62,16.42,17.1711,74267,0
NAMM.US,D,20250612,000000,16.01,16.11,14.62,15.8,51741,0
NAMM.US,D,20250613,000000,17.345,17.345,14.5301,16.18,81979,0
NAMM.US,D,20250616,000000,15.39,19.75,15.01,16.6,114178,0
NAMM.US,D,20250617,000000,16.5,16.77,15.6,16.05,30724,0
NAMM.US,D,20250618,000000,16.25,17.105,15.65,15.99,17976,0
NAMM.US,D,20250620,000000,15.2989,16.59,13.7,16.59,129197,0
NAMM.US,D,20250623,000000,14.97,15.9468,14.265,14.265,36871,0
NAMM.US,D,20250624,000000,13.8975,15.005,13.85,13.86,16018,0
NAMM.US,D,20250625,000000,13.51,13.51,11.42,12.5,32023,0
NAMM.US,D,20250626,000000,12.03,12.8,10.01,10.45,35407,0
NAMM.US,D,20250627,000000,10.99,11.4999,7.65,9.03,403528,0
NAMM.US,D,20250630,000000,8.5,8.8318,7.51,7.56,88118,0
NAMM.US,D,20250701,000000,7.11,7.4798,6.65,6.88,384843,0
NAMM.US,D,20250702,000000,9.35,11.6299,8.7701,10.96,8137564,0
NAMM.US,D,20250703,000000,10.89,11.1,8.9004,9.3,464301,0
NAMM.US,D,20250707,000000,8.8,8.8,7.5201,7.55,239894,0
NAMM.US,D,20250708,000000,7.4,7.9,6.926,7.31,109315,0
NAMM.US,D,20250709,000000,7.45,7.75,7.11,7.16,72646,0
