<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OBAWU.US,D,20250625,000000,10.02,10.02,10,10,11607876,0
OBAWU.US,D,20250626,000000,10.01,10.02,10.01,10.02,735760,0
OBAWU.US,D,20250627,000000,10,10.02,10,10.02,291529,0
OBAWU.US,D,20250630,000000,10.02,10.02,10,10.01,495648,0
OBAWU.US,D,20250701,000000,10.01,10.01,10,10.005,308084,0
OBAWU.US,D,20250702,000000,10.01,10.01,10,10.005,647179,0
OBAWU.US,D,20250703,000000,10.01,10.01,10.0019,10.0019,4900,0
OBAWU.US,D,20250707,000000,10.01,10.01,10,10.01,150636,0
OBAWU.US,D,20250708,000000,10,10.01,10,10.01,2485,0
OBAWU.US,D,20250709,000000,10.0103,10.02,10,10,449479,0
