<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OKLL.US,D,20250624,000000,22.389,24.49,22.23,24.074,76166,0
OKLL.US,D,20250625,000000,26.21,26.73,19.97,19.99,327754,0
OKLL.US,D,20250626,000000,21.01,21.4952,19.88,20.19,214309,0
OKLL.US,D,20250627,000000,22.85,24.57,18.9,19.72,720408,0
OKLL.US,D,20250630,000000,20.78,21.11,18.6301,20.16,453872,0
OKLL.US,D,20250701,000000,19.51,19.51,17,17.21,391544,0
OKLL.US,D,20250702,000000,17.31,17.3381,16.0901,16.9,290991,0
OKLL.US,D,20250703,000000,17.92,18.7417,16.79,18.3,388900,0
OKLL.US,D,20250707,000000,18.54,20.16,17.01,20,667149,0
OKLL.US,D,20250708,000000,20.93,20.95,17.98,18.21,962456,0
OKLL.US,D,20250709,000000,18.6,19.3,16.8,18.31,791105,0
