<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QCMU.US,D,20250625,000000,24.715,25.019,24.705,25.0058,4756,0
QCMU.US,D,20250626,000000,25.3,25.7607,25.07,25.7607,2964,0
QCMU.US,D,20250627,000000,26.2094,26.2094,25.75,25.8586,2355,0
QCMU.US,D,20250630,000000,25.9,26.1508,25.75,26.1508,4273,0
QCMU.US,D,20250701,000000,25.96,26.7506,25.87,26.1636,3657,0
QCMU.US,D,20250702,000000,26.2,27.165,26.2,27.0594,6197,0
QCMU.US,D,20250703,000000,27.35,27.559,27.0259,27.0259,2580,0
QCMU.US,D,20250707,000000,26.06,26.06,25.64,25.64,2264,0
QCMU.US,D,20250708,000000,26.191,26.191,26.0322,26.0322,1410,0
QCMU.US,D,20250709,000000,26.63,26.63,25.7,25.7,854,0
