<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RDAG.US,D,20250623,000000,12.64,12.64,10.31,10.39,3593,0
RDAG.US,D,20250624,000000,10.42,10.94,10.41,10.5,16892,0
RDAG.US,D,20250625,000000,10.5,10.5,10.3,10.33,363650,0
RDAG.US,D,20250626,000000,10.35,10.35,10.24,10.2627,454197,0
RDAG.US,D,20250627,000000,10.26,10.26,10.22,10.24,111867,0
RDAG.US,D,20250630,000000,10.25,10.26,10.25,10.26,71858,0
RDAG.US,D,20250701,000000,10.2807,10.29,10.26,10.26,65776,0
RDAG.US,D,20250702,000000,10.265,10.29,10.26,10.26,239308,0
RDAG.US,D,20250703,000000,10.27,10.28,10.27,10.275,15024,0
RDAG.US,D,20250707,000000,10.2558,10.3,10.2558,10.29,213016,0
RDAG.US,D,20250708,000000,10.25,10.25,10.25,10.25,1032,0
RDAG.US,D,20250709,000000,10.251,10.26,10.25,10.2599,43924,0
