<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
REMG.US,D,20250603,000000,24.37,24.39,24.3366,24.3366,911,0
REMG.US,D,20250604,000000,24.6515,24.72,24.635,24.6881,4602,0
REMG.US,D,20250605,000000,24.8289,24.93,24.792,24.792,1705,0
REMG.US,D,20250606,000000,24.84,24.89,24.75,24.8628,788,0
REMG.US,D,20250609,000000,25.025,25.25,25.025,25.135,1599,0
REMG.US,D,20250610,000000,25.14,25.66,25.14,25.318,1114516,0
REMG.US,D,20250611,000000,25.35,25.435,25.25,25.25,576563,0
REMG.US,D,20250612,000000,25.273,25.293,25.227,25.265,5129,0
REMG.US,D,20250613,000000,24.9545,25.1095,24.8885,24.9504,12729,0
REMG.US,D,20250616,000000,25.43,25.48,25.26,25.295,9460,0
REMG.US,D,20250617,000000,25.0769,25.1804,24.9717,24.9804,5674,0
REMG.US,D,20250618,000000,24.9507,25.01,24.85,24.9094,9705,0
REMG.US,D,20250620,000000,24.94,25.13,24.7634,24.7634,16046,0
REMG.US,D,20250623,000000,24.8537,24.9429,24.76,24.9429,5450,0
REMG.US,D,20250624,000000,25.4682,25.67,25.4682,25.605,4491,0
REMG.US,D,20250625,000000,25.56,25.64,25.56,25.5967,4637,0
REMG.US,D,20250626,000000,25.8233,25.91,25.7808,25.825,7234,0
REMG.US,D,20250627,000000,25.75,25.81,25.715,25.755,1878,0
REMG.US,D,20250630,000000,25.73,25.89,25.7218,25.84,9997,0
REMG.US,D,20250701,000000,25.91,25.92,25.79,25.865,15522,0
REMG.US,D,20250702,000000,25.86,25.99,25.81,25.9627,13122,0
REMG.US,D,20250703,000000,26.05,26.05,25.98,26,2410,0
REMG.US,D,20250707,000000,25.7768,25.9003,25.69,25.695,5826,0
REMG.US,D,20250708,000000,25.82,25.95,25.82,25.88,1832,0
REMG.US,D,20250709,000000,25.8592,25.88,25.77,25.8157,5293,0
