<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TEXN.US,D,20250624,000000,25.22,25.29,25.1684,25.26,38008,0
TEXN.US,D,20250625,000000,25.45,25.45,24.95,24.96,108685,0
TEXN.US,D,20250626,000000,25.01,25.17,24.95,25.1447,77192,0
TEXN.US,D,20250627,000000,25.22,25.22,24.94,25.09,43538,0
TEXN.US,D,20250630,000000,25.3,25.3,25.13,25.1741,53139,0
TEXN.US,D,20250701,000000,25.05,25.21,24.943,25.1434,14058,0
TEXN.US,D,20250702,000000,25.33,25.5442,25.2097,25.5442,16010,0
TEXN.US,D,20250703,000000,25.665,25.78,25.665,25.75,24127,0
TEXN.US,D,20250707,000000,25.5,25.5,25.2,25.37,16282,0
TEXN.US,D,20250708,000000,25.56,25.74,25.56,25.6339,6165,0
TEXN.US,D,20250709,000000,25.6299,25.66,25.57,25.66,8978,0
