<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TFNS.US,D,20250612,000000,24.87,25.0154,24.85,25.0154,2705,0
TFNS.US,D,20250616,000000,24.9,24.9,24.7258,24.7258,1017,0
TFNS.US,D,20250617,000000,24.68,24.68,24.54,24.567,6943,0
TFNS.US,D,20250618,000000,24.65,24.65,24.5362,24.5362,145,0
TFNS.US,D,20250620,000000,24.59,24.5936,24.59,24.5936,6650,0
TFNS.US,D,20250624,000000,25.205,25.2429,25.205,25.2429,2506,0
TFNS.US,D,20250625,000000,25.18,25.18,25.1479,25.1479,459,0
TFNS.US,D,20250626,000000,25.37,25.3809,25.37,25.3809,1557,0
TFNS.US,D,20250630,000000,25.615,25.6916,25.615,25.6916,1196,0
TFNS.US,D,20250701,000000,25.69,25.92,25.69,25.8616,487,0
TFNS.US,D,20250702,000000,25.77,25.84,25.77,25.8327,2698,0
TFNS.US,D,20250703,000000,26.02,26.15,26.02,26.1094,2299,0
TFNS.US,D,20250707,000000,26.18,26.18,25.85,25.91,3955,0
TFNS.US,D,20250708,000000,25.85,25.85,25.725,25.725,2527,0
TFNS.US,D,20250709,000000,25.77,25.78,25.7391,25.75,3607,0
