<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TURF.US,D,20250612,000000,24.99,25.1692,24.99,25.1545,4243,0
TURF.US,D,20250613,000000,25.335,25.4372,25.335,25.4372,2649,0
TURF.US,D,20250616,000000,25.78,25.7968,25.6451,25.6451,3078,0
TURF.US,D,20250617,000000,25.6747,25.6747,25.5988,25.5988,1239,0
TURF.US,D,20250618,000000,25.6,25.68,25.4752,25.4752,3433,0
TURF.US,D,20250620,000000,25.459,25.459,25.3559,25.3559,1200,0
TURF.US,D,20250623,000000,25.37,25.37,25.2266,25.2266,450,0
TURF.US,D,20250624,000000,25.08,25.08,25.0179,25.0179,132,0
TURF.US,D,20250625,000000,24.85,24.87,24.7949,24.7949,406,0
TURF.US,D,20250626,000000,25.15,25.2549,25.15,25.2549,1445,0
TURF.US,D,20250627,000000,25.12,25.12,25.038,25.064,2331,0
TURF.US,D,20250630,000000,24.99,25.1328,24.99,25.1328,2113,0
TURF.US,D,20250701,000000,25.15,25.2619,25.15,25.2619,2048,0
TURF.US,D,20250702,000000,25.75,25.83,25.715,25.8223,1376,0
TURF.US,D,20250703,000000,25.8064,25.8064,25.7,25.739,1093,0
TURF.US,D,20250707,000000,25.7,25.7,25.3391,25.4413,3273,0
TURF.US,D,20250708,000000,25.57,25.805,25.5299,25.805,1323,0
TURF.US,D,20250709,000000,25.54,25.65,25.54,25.62,1138,0
