<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UMBFO.US,D,20250616,000000,25.4799,25.66,25.41,25.465,158189,0
UMBFO.US,D,20250617,000000,25.48,25.57,25.4,25.48,213926,0
UMBFO.US,D,20250618,000000,25.53,25.65,25.48,25.51,191535,0
UMBFO.US,D,20250620,000000,25.58,25.71,25.5,25.63,225063,0
UMBFO.US,D,20250623,000000,25.64,25.8,25.63,25.73,104682,0
UMBFO.US,D,20250624,000000,25.73,25.8399,25.68,25.7984,268276,0
UMBFO.US,D,20250625,000000,25.76,25.89,25.76,25.825,158901,0
UMBFO.US,D,20250626,000000,25.82,25.89,25.8,25.85,158354,0
UMBFO.US,D,20250627,000000,25.87,26.4,25.8,25.95,203405,0
UMBFO.US,D,20250630,000000,25.92,26.09,25.8,25.94,2330563,0
UMBFO.US,D,20250701,000000,25.81,26.0899,25.81,26.05,345791,0
UMBFO.US,D,20250702,000000,26,26.09,25.95,25.97,61826,0
UMBFO.US,D,20250703,000000,26.1,26.627,26.02,26.02,26665,0
UMBFO.US,D,20250707,000000,26.1306,26.1306,25.95,25.99,77490,0
UMBFO.US,D,20250708,000000,26.08,26.21,25.9012,25.975,129330,0
UMBFO.US,D,20250709,000000,26.04,26.05,25.96,26,112969,0
