<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAUC.US,D,20250613,000000,15.35,15.42,14.67,15.35,76089,0
AAUC.US,D,20250616,000000,15.5,15.785,15,15.03,90424,0
AAUC.US,D,20250617,000000,14.85,14.95,13.83,14.11,105597,0
AAUC.US,D,20250618,000000,14.02,14.28,13.74,13.8,114863,0
AAUC.US,D,20250620,000000,13.79,14.03,13.74,13.86,220393,0
AAUC.US,D,20250623,000000,13.88,14.38,13.72,13.89,148117,0
AAUC.US,D,20250624,000000,13.9,13.9,13.05,13.45,51417,0
AAUC.US,D,20250625,000000,13.4,13.63,13.33,13.48,23956,0
AAUC.US,D,20250626,000000,13.52,13.63,13.415,13.63,11640,0
AAUC.US,D,20250627,000000,13.4,13.41,13.08,13.25,20209,0
AAUC.US,D,20250630,000000,13.38,13.64,13.21,13.52,77548,0
AAUC.US,D,20250701,000000,13.7498,13.825,13.58,13.66,17028,0
AAUC.US,D,20250702,000000,13.73,13.83,13.355,13.6,38089,0
AAUC.US,D,20250703,000000,13.68,13.68,13.4309,13.57,68336,0
AAUC.US,D,20250707,000000,13.73,14.05,13.48,14.05,35004,0
AAUC.US,D,20250708,000000,14.05,14.05,12.84,13.15,114811,0
AAUC.US,D,20250709,000000,13.02,13.42,13.02,13.38,35418,0
