<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMZW.US,D,20250620,000000,50,50.08,48.27,48.59,4847,0
AMZW.US,D,20250623,000000,48.5,48.75,48.2372,48.2372,12905,0
AMZW.US,D,20250624,000000,49.63,49.775,49.41,49.4753,2803,0
AMZW.US,D,20250625,000000,49.7211,49.98,48.99,49.1629,5067,0
AMZW.US,D,20250626,000000,49.48,50.735,49.41,50.58,7512,0
AMZW.US,D,20250627,000000,51.666,52.1365,50.64,52.1365,9578,0
AMZW.US,D,20250630,000000,51.391,52.13,50.88,50.93,10525,0
AMZW.US,D,20250701,000000,51.05,51.54,50.77,51.3687,21261,0
AMZW.US,D,20250702,000000,50.97,51.44,50.97,51.1373,9409,0
AMZW.US,D,20250703,000000,51.72,52.22,51.53,52.0841,7056,0
AMZW.US,D,20250707,000000,51.5372,51.75,51.36,51.6094,7643,0
AMZW.US,D,20250708,000000,51.5149,51.5149,50.515,50.515,7820,0
AMZW.US,D,20250709,000000,51.615,51.799,51.14,51.36,3070,0
