<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASMH.US,D,20250613,000000,51.7861,52.33,51.7861,51.7861,217,0
ASMH.US,D,20250618,000000,52.16,52.16,52.0816,52.0816,125,0
ASMH.US,D,20250620,000000,52.12,52.12,51.6136,51.6136,494,0
ASMH.US,D,20250623,000000,52.28,52.9381,52.28,52.9381,422,0
ASMH.US,D,20250624,000000,54.83,55.04,54.805,55.04,1232,0
ASMH.US,D,20250625,000000,54.75,54.9287,54.7135,54.9287,479,0
ASMH.US,D,20250627,000000,53.9,53.9,53.4334,53.4334,913,0
ASMH.US,D,20250630,000000,53.34,53.5321,53.34,53.5321,192,0
ASMH.US,D,20250702,000000,53.24,53.25,53.1,53.2249,1425,0
ASMH.US,D,20250703,000000,52.7803,53.0545,52.7803,53.0545,316,0
ASMH.US,D,20250707,000000,52.96,53.07,52.6895,52.6895,268,0
ASMH.US,D,20250708,000000,53.41,53.41,53.2452,53.2452,318,0
ASMH.US,D,20250709,000000,53.54,53.54,53.44,53.44,337,0
