<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BINT.US,D,20250623,000000,25.18,25.22,25.07,25.2182,16317,0
BINT.US,D,20250624,000000,25.3784,25.55,25.3784,25.4974,4738157,0
BINT.US,D,20250625,000000,25.39,25.45,25.34,25.379,51160,0
BINT.US,D,20250626,000000,25.57,25.66,25.5694,25.6509,169114,0
BINT.US,D,20250627,000000,25.76,25.87,25.7,25.7838,125877,0
BINT.US,D,20250630,000000,25.778,25.9,25.76,25.8964,54402,0
BINT.US,D,20250701,000000,25.88,25.91,25.76,25.8782,50054,0
BINT.US,D,20250702,000000,25.8,25.98,25.7999,25.98,40733,0
BINT.US,D,20250703,000000,26.03,26.075,26.03,26.0437,13421,0
BINT.US,D,20250707,000000,25.89,25.89,25.75,25.7683,38030,0
BINT.US,D,20250708,000000,25.86,25.93,25.86,25.9077,5839,0
BINT.US,D,20250709,000000,26,26.07,25.9867,26.07,47426,0
