<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BLOX.US,D,20250617,000000,19.11,19.4,19.02,19.1694,4711,0
BLOX.US,D,20250618,000000,19.2,19.61,19.2,19.4527,7413,0
BLOX.US,D,20250620,000000,19.77,19.91,19.18,19.2902,9702,0
BLOX.US,D,20250623,000000,18.6078,19.0588,18.36,18.9829,106348,0
BLOX.US,D,20250624,000000,19.36,20.0055,19.36,20.0055,9323,0
BLOX.US,D,20250625,000000,20.48,20.48,20.0605,20.322,8305,0
BLOX.US,D,20250626,000000,20.27,22.32,20.07,20.9482,3769,0
BLOX.US,D,20250627,000000,20.8,20.98,20.58,20.5816,6528,0
BLOX.US,D,20250630,000000,20.7914,21.1173,20.7914,21.1173,6746,0
BLOX.US,D,20250701,000000,21.0305,21.28,20.7,20.8121,6543,0
BLOX.US,D,20250702,000000,21.492,21.8,21.492,21.7413,8466,0
BLOX.US,D,20250703,000000,21.775,21.79,21.6902,21.6902,7460,0
BLOX.US,D,20250707,000000,21.2,21.35,20.879,21.157,16524,0
BLOX.US,D,20250708,000000,21.49,21.5,21.2,21.25,18021,0
BLOX.US,D,20250709,000000,21.53,21.78,21.18,21.775,33484,0
