<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BLTD.US,D,20250623,000000,25.15,25.16,25.0716,25.0716,10762,0
BLTD.US,D,20250624,000000,25.05,25.21,25.04,25.1925,2551033,0
BLTD.US,D,20250625,000000,25.1,25.16,25.07,25.15,474153,0
BLTD.US,D,20250626,000000,25.19,25.25,25.13,25.2416,90416,0
BLTD.US,D,20250627,000000,25.17,25.29,25.15,25.1589,64084,0
BLTD.US,D,20250630,000000,25.24,25.37,25.2399,25.35,52509,0
BLTD.US,D,20250701,000000,25.37,25.41,25.15,25.4,37034,0
BLTD.US,D,20250702,000000,25.23,25.32,25.23,25.32,48857,0
BLTD.US,D,20250703,000000,25.27,25.29,25.21,25.24,44952,0
BLTD.US,D,20250707,000000,25.12,25.12,25.01,25.05,24663,0
BLTD.US,D,20250708,000000,24.94,24.9903,24.94,24.9903,28714,0
BLTD.US,D,20250709,000000,25.07,25.17,25.06,25.17,54101,0
