<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BLUC.US,D,20250623,000000,25.2,25.26,25.11,25.255,14713,0
BLUC.US,D,20250624,000000,25.4092,25.56,25.4092,25.5304,4264660,0
BLUC.US,D,20250625,000000,25.58,25.59,25.47,25.5225,64182,0
BLUC.US,D,20250626,000000,25.6,25.74,25.6,25.7393,152810,0
BLUC.US,D,20250627,000000,25.82,25.92,25.71,25.8451,116528,0
BLUC.US,D,20250630,000000,25.92,26.0143,25.91,26.0143,40456,0
BLUC.US,D,20250701,000000,25.97,25.98,25.81,25.93,45024,0
BLUC.US,D,20250702,000000,25.91,26.0592,25.91,26.0592,29040,0
BLUC.US,D,20250703,000000,26.21,26.319,26.21,26.2809,11756,0
BLUC.US,D,20250707,000000,26.17,26.17,26.04,26.0814,32053,0
BLUC.US,D,20250708,000000,26.1,26.1,26.0545,26.0768,3534,0
BLUC.US,D,20250709,000000,26.2,26.25,26.15,26.25,44663,0
