<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BRKC.US,D,20250613,000000,49.7028,49.98,49.56,49.7028,6463,0
BRKC.US,D,20250616,000000,50.18,50.21,50.0984,50.0984,2915,0
BRKC.US,D,20250617,000000,50.07,50.07,49.565,49.5876,4815,0
BRKC.US,D,20250618,000000,49.6,49.75,49.55,49.7253,5038,0
BRKC.US,D,20250620,000000,49.7881,49.91,49.71,49.8546,22648,0
BRKC.US,D,20250623,000000,50,50.0999,49.59,50.0294,12391,0
BRKC.US,D,20250624,000000,50.38,50.57,50.38,50.48,4414,0
BRKC.US,D,20250625,000000,50.43,50.66,50.065,50.0736,7855,0
BRKC.US,D,20250626,000000,50.05,50.05,49.8786,49.8786,7125,0
BRKC.US,D,20250627,000000,49.87,50.18,49.8552,49.8552,6928,0
BRKC.US,D,20250630,000000,49.9199,49.955,49.8247,49.955,4849,0
BRKC.US,D,20250701,000000,50.015,50.2517,49.9,50.2517,4071,0
BRKC.US,D,20250702,000000,49.86,49.87,49.4329,49.4528,11084,0
BRKC.US,D,20250703,000000,49.4685,49.96,49.4685,49.869,6958,0
BRKC.US,D,20250707,000000,50.05,50.05,49.272,49.272,7275,0
BRKC.US,D,20250708,000000,49.29,49.5,49.05,49.3058,5510,0
BRKC.US,D,20250709,000000,49.2001,49.47,49.1,49.47,8894,0
