<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
COPL.US,D,20250613,000000,10.03,10.04,10.03,10.03,26758,0
COPL.US,D,20250617,000000,10.03,10.03,10.03,10.03,539,0
COPL.US,D,20250618,000000,10.02,10.04,10.02,10.03,168543,0
COPL.US,D,20250620,000000,10.04,10.04,10.03,10.03,2850,0
COPL.US,D,20250623,000000,10.03,10.04,10.03,10.04,49601,0
COPL.US,D,20250624,000000,10.04,10.04,10.04,10.04,32636,0
COPL.US,D,20250625,000000,10.03,10.04,10.03,10.04,553340,0
COPL.US,D,20250626,000000,10.06,10.06,10.06,10.06,109,0
COPL.US,D,20250627,000000,10.05,10.05,10.05,10.05,1043,0
COPL.US,D,20250630,000000,10.04,10.11,10.04,10.07,246660,0
COPL.US,D,20250701,000000,10.06,10.08,10.06,10.07,56053,0
COPL.US,D,20250702,000000,10.05,10.05,10.05,10.05,102,0
COPL.US,D,20250708,000000,10.055,10.06,10.055,10.06,25668,0
COPL.US,D,20250709,000000,10.06,10.06,10.04,10.04,30175,0
