<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FMKT.US,D,20250611,000000,20.11,20.21,19.86,20.1,157195,0
FMKT.US,D,20250612,000000,20.13,20.16,19.9201,20.0441,74320,0
FMKT.US,D,20250613,000000,19.95,20.1299,19.88,19.88,63754,0
FMKT.US,D,20250616,000000,20.15,20.32,20.11,20.2076,50840,0
FMKT.US,D,20250617,000000,20.15,20.33,20.0267,20.1206,27445,0
FMKT.US,D,20250618,000000,20.1,20.3099,20.07,20.2063,46714,0
FMKT.US,D,20250620,000000,20.3593,20.3593,20.13,20.1758,47191,0
FMKT.US,D,20250623,000000,20.25,20.37,19.985,20.2993,42831,0
FMKT.US,D,20250624,000000,20.35,20.62,20.325,20.55,37476,0
FMKT.US,D,20250625,000000,20.58,20.79,20.32,20.32,31022,0
FMKT.US,D,20250626,000000,20.4,20.7,20.26,20.66,26014,0
FMKT.US,D,20250627,000000,20.73,20.8,20.48,20.5924,117079,0
FMKT.US,D,20250630,000000,20.7278,20.9255,20.6,20.9255,17516,0
FMKT.US,D,20250701,000000,20.7743,20.98,20.4327,20.64,49936,0
FMKT.US,D,20250702,000000,20.59,20.81,20.59,20.7299,18024,0
FMKT.US,D,20250703,000000,20.82,20.9088,20.67,20.8946,8907,0
FMKT.US,D,20250707,000000,20.94,21.0159,20.858,21.0159,18123,0
FMKT.US,D,20250708,000000,21.1,21.1,20.71,20.8589,11574,0
FMKT.US,D,20250709,000000,20.9001,20.94,20.82,20.94,9682,0
