<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GXIG.US,D,20250617,000000,25.1327,25.1327,25.09,25.1327,3127,0
GXIG.US,D,20250618,000000,25.27,26.36,25.14,25.21,651066,0
GXIG.US,D,20250620,000000,25.29,25.29,25.12,25.22,282454,0
GXIG.US,D,20250623,000000,25.25,25.4,25.24,25.28,183215,0
GXIG.US,D,20250624,000000,25.28,25.4191,25.22,25.3379,114095,0
GXIG.US,D,20250625,000000,25.34,25.5,25.26,25.33,597458,0
GXIG.US,D,20250626,000000,25.33,25.53,25.27,25.372,123728,0
GXIG.US,D,20250627,000000,25.33,25.58,25.31,25.39,182674,0
GXIG.US,D,20250630,000000,25.5,25.5199,25.39,25.47,223322,0
GXIG.US,D,20250701,000000,25.5,26,25.45,25.53,324797,0
GXIG.US,D,20250702,000000,25.5,25.54,25.41,25.4898,12131,0
GXIG.US,D,20250703,000000,25.46,25.51,25.4,25.47,254758,0
GXIG.US,D,20250707,000000,25.405,25.49,25.26,25.31,489439,0
GXIG.US,D,20250708,000000,25.28,25.3,25.2,25.21,93305,0
GXIG.US,D,20250709,000000,25.3,25.4,25.26,25.4,179167,0
