<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IVES.US,D,20250613,000000,25.74,26.02,25.6197,25.74,826786,0
IVES.US,D,20250616,000000,26,26.4,26,26.23,1700524,0
IVES.US,D,20250617,000000,26.21,26.37,26,26.09,1373799,0
IVES.US,D,20250618,000000,26.13,26.26,25.95,26.08,1068434,0
IVES.US,D,20250620,000000,26.27,26.28,25.7946,25.86,880349,0
IVES.US,D,20250623,000000,25.8,26.14,25.62,26.13,871604,0
IVES.US,D,20250624,000000,26.525,26.76,26.4738,26.75,1416696,0
IVES.US,D,20250625,000000,26.9,26.96,26.6249,26.96,1256321,0
IVES.US,D,20250626,000000,26.88,26.99,26.671,26.99,1313153,0
IVES.US,D,20250627,000000,27.03,27.0934,26.6879,26.98,1314856,0
IVES.US,D,20250630,000000,27.15,27.19,26.99,27.11,921247,0
IVES.US,D,20250701,000000,26.93,26.95,26.37,26.62,772212,0
IVES.US,D,20250702,000000,26.7711,26.87,26.48,26.87,604996,0
IVES.US,D,20250703,000000,26.99,27.61,26.99,27.61,649882,0
IVES.US,D,20250707,000000,27.17,27.17,26.85,27.05,886461,0
IVES.US,D,20250708,000000,27.26,27.26,27.055,27.09,633906,0
IVES.US,D,20250709,000000,27.27,27.34,27.08,27.28,654760,0
