<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STHH.US,D,20250613,000000,58.0322,58.72,58.0322,58.0322,371,0
STHH.US,D,20250616,000000,58.88,58.8996,58.88,58.8996,103,0
STHH.US,D,20250617,000000,57.88,57.88,57.6528,57.6528,113,0
STHH.US,D,20250618,000000,58.18,58.18,58.0081,58.0081,206,0
STHH.US,D,20250620,000000,58.2,58.2,57.0739,57.0739,501,0
STHH.US,D,20250623,000000,57.5,57.7254,57.5,57.7254,204,0
STHH.US,D,20250624,000000,59.18,59.7741,59.18,59.7741,225,0
STHH.US,D,20250625,000000,58.81,59.0099,58.81,59.0099,234,0
STHH.US,D,20250626,000000,59.28,59.28,59.14,59.2644,207,0
STHH.US,D,20250627,000000,59.26,59.26,59.11,59.1947,201,0
STHH.US,D,20250630,000000,59.61,59.61,59.5223,59.5223,204,0
STHH.US,D,20250701,000000,58.96,58.96,58.8022,58.8022,112,0
STHH.US,D,20250702,000000,61.83,61.97,61.83,61.9424,221,0
STHH.US,D,20250703,000000,63.28,63.28,63.1384,63.1384,177,0
STHH.US,D,20250708,000000,63.08,63.8649,63.08,63.8649,312,0
STHH.US,D,20250709,000000,62.74,62.74,62.7,62.7,214,0
