<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UNH.US,D,19900326,000000,0.233751,0.233751,0.233751,0.233751,512314,0
UNH.US,D,19900327,000000,0.233751,0.249772,0.233751,0.249772,4857081,0
UNH.US,D,19900328,000000,0.249772,0.249772,0.24165,0.24165,1938067,0
UNH.US,D,19900329,000000,0.249772,0.249772,0.24165,0.24165,667203,0
UNH.US,D,19900330,000000,0.249772,0.249772,0.24165,0.24165,2180327,0
UNH.US,D,19900402,000000,0.24165,0.249772,0.233751,0.249772,3042134,0
UNH.US,D,19900403,000000,0.249772,0.257777,0.24165,0.249772,3490910,0
UNH.US,D,19900404,000000,0.257777,0.257777,0.249772,0.249772,4968290,0
UNH.US,D,19900405,000000,0.257777,0.265973,0.257777,0.257777,4916660,0
UNH.US,D,19900406,000000,0.265973,0.265973,0.257777,0.265973,1580640,0
UNH.US,D,19900409,000000,0.265973,0.265973,0.257777,0.257777,3566361,0
UNH.US,D,19900410,000000,0.257777,0.257777,0.249772,0.249772,2629102,0
UNH.US,D,19900411,000000,0.257777,0.257777,0.249772,0.257777,4269311,0
UNH.US,D,19900412,000000,0.257777,0.265973,0.257777,0.265973,4038968,0
UNH.US,D,19900416,000000,0.265973,0.265973,0.257777,0.265973,5703006,0
UNH.US,D,19900417,000000,0.265973,0.265973,0.265973,0.265973,9007256,0
UNH.US,D,19900418,000000,0.265973,0.265973,0.257777,0.257777,2843562,0
UNH.US,D,19900419,000000,0.257777,0.257777,0.257777,0.257777,1112005,0
UNH.US,D,19900420,000000,0.257777,0.257777,0.249772,0.257777,1449584,0
UNH.US,D,19900423,000000,0.249772,0.249772,0.24165,0.249772,1239095,0
UNH.US,D,19900424,000000,0.249772,0.257777,0.249772,0.249772,869747,0
UNH.US,D,19900425,000000,0.249772,0.257777,0.249772,0.257777,941233,0
UNH.US,D,19900426,000000,0.257777,0.265973,0.257777,0.257777,1525038,0
UNH.US,D,19900427,000000,0.257777,0.257777,0.249772,0.249772,2343153,0
UNH.US,D,19900430,000000,0.265973,0.274074,0.257777,0.274074,15242438,0
UNH.US,D,19900501,000000,0.274074,0.281927,0.274074,0.281927,13800799,0
UNH.US,D,19900502,000000,0.281927,0.290105,0.274074,0.290105,4694254,0
UNH.US,D,19900503,000000,0.298121,0.298121,0.290105,0.290105,6795153,0
UNH.US,D,19900504,000000,0.290105,0.306193,0.290105,0.306193,13971568,0
UNH.US,D,19900507,000000,0.314256,0.322347,0.306193,0.322347,46354801,0
UNH.US,D,19900508,000000,0.322347,0.330467,0.322347,0.330467,19126517,0
