Time,Open,High,Low,Last,Change,%Chg,Volume
"2025-08-21 11:40",564.8,565.22,564.57,565.02,0.205,+0.04%,256767
"2025-08-21 11:35",564.93,565.1,564.75,564.815,-0.115,-0.02%,238139
"2025-08-21 11:30",564.28,565.11,564.23,564.93,0.65,+0.12%,334423
"2025-08-21 11:25",564.78,564.86,563.99,564.28,-0.51,-0.09%,354033
"2025-08-21 11:20",563.9,565.02,563.62,564.79,0.877,+0.16%,415112
"2025-08-21 11:15",563.22,563.97,563.0101,563.913,0.693,+0.12%,439211
"2025-08-21 11:10",564.55,564.635,563.13,563.22,-1.33,-0.24%,557789
"2025-08-21 11:05",564.92,564.93,564.4,564.55,-0.35,-0.06%,361604
"2025-08-21 11:00",565.23,565.63,564.82,564.9,-0.3,-0.05%,402830
"2025-08-21 10:55",565.26,565.36,564.97,565.2,-0.09,-0.02%,303180
"2025-08-21 10:50",564.33,565.32,564.315,565.29,0.98,+0.17%,344122
"2025-08-21 10:45",564.82,565.07,564.26,564.31,-0.51,-0.09%,496934
"2025-08-21 10:40",564.31,564.84,564.11,564.82,0.48,+0.09%,469686
"2025-08-21 10:35",565.21,565.35,564.31,564.34,-0.86,-0.15%,437873
"2025-08-21 10:30",566.42,566.42,564.95,565.2,-1.21,-0.21%,541903
"2025-08-21 10:25",565.79,566.49,565.31,566.41,0.615,+0.11%,675205
"2025-08-21 10:20",565.4,565.88,565.26,565.795,0.395,+0.07%,432051
"2025-08-21 10:15",564.88,565.669,564.66,565.4,0.52,+0.09%,512274
"2025-08-21 10:10",564.89,565.38,564.58,564.88,-0.01,0.00%,627212
"2025-08-21 10:05",564.41,565.06,564.34,564.89,0.49,+0.09%,674163
"2025-08-21 10:00",562.57,564.55,561.85,564.4,1.81,+0.32%,999378
"2025-08-21 09:55",563.86,564.05,562.51,562.59,-1.29,-0.23%,594886
"2025-08-21 09:50",564.47,564.53,563.27,563.88,-0.6,-0.11%,843709
"2025-08-21 09:45",564.29,564.52,562.32,564.48,0.24,+0.04%,1179173
"2025-08-21 09:40",564.76,564.77,563.7514,564.24,-0.525,-0.09%,586624
"2025-08-21 09:35",563.91,565.08,563.48,564.765,0.79,+0.14%,841659
"2025-08-21 09:30",564.35,564.66,562.88,563.975,-1.925,-0.34%,1444582
"2025-08-20 15:55",566.47,566.89,565.74,565.9,-0.57,-0.10%,2058086
"2025-08-20 15:50",566.45,566.65,565.87,566.47,0.02,0.00%,885627
"2025-08-20 15:45",566.08,566.5,566.005,566.45,0.3599,+0.06%,537186
"2025-08-20 15:40",565.765,566.14,565.71,566.0901,0.3301,+0.06%,335275
"2025-08-20 15:35",566.2,566.42,565.73,565.76,-0.43,-0.08%,407703
"2025-08-20 15:30",565.75,566.27,565.6,566.19,0.44,+0.08%,332908
"2025-08-20 15:25",566.41,566.43,565.53,565.75,-0.67,-0.12%,477088
"2025-08-20 15:20",565.69,566.51,565.62,566.42,0.74,+0.13%,579054
"2025-08-20 15:15",565.51,565.92,565.4,565.68,0.16,+0.03%,439448
"2025-08-20 15:10",564.71,565.71,564.69,565.52,0.8,+0.14%,616688
"2025-08-20 15:05",564.3,564.79,564.1001,564.72,0.42,+0.07%,306450
"2025-08-20 15:00",563.88,564.37,563.88,564.3,0.41,+0.07%,278192
"2025-08-20 14:55",564.36,564.54,563.795,563.89,-0.47,-0.08%,315694
"2025-08-20 14:50",564.59,564.77,564.31,564.36,-0.25,-0.04%,394485
"2025-08-20 14:45",564.14,564.7178,564.04,564.61,0.47,+0.08%,329344
"2025-08-20 14:40",564.01,564.26,563.82,564.14,0.1223,+0.02%,230727
"2025-08-20 14:35",563.55,564.03,563.23,564.0177,0.4627,+0.08%,273628
"2025-08-20 14:30",563.07,563.63,563.02,563.555,0.465,+0.08%,283162
"2025-08-20 14:25",563.26,563.528,562.96,563.09,-0.16,-0.03%,243913
"2025-08-20 14:20",562.9,563.41,562.6,563.25,0.35,+0.06%,467050
"2025-08-20 14:15",563.43,563.44,562.84,562.9,-0.54,-0.10%,368197
"2025-08-20 14:10",563.78,563.98,563.05,563.44,-0.34,-0.06%,391717
"2025-08-20 14:05",563.42,563.83,563.05,563.78,0.38,+0.07%,502377
"2025-08-20 14:00",564.37,564.56,562.81,563.4,-0.99,-0.18%,915909
"2025-08-20 13:55",564.81,564.85,564.13,564.39,-0.43,-0.08%,406122
"2025-08-20 13:50",565.11,565.19,564.64,564.82,-0.31,-0.05%,368294
"2025-08-20 13:45",565.18,565.62,565.04,565.13,-0.04,-0.01%,583582
"2025-08-20 13:40",565.04,565.23,564.88,565.17,0.14,+0.02%,270362
"2025-08-20 13:35",565.05,565.2,564.81,565.03,-0.0249,0.00%,327152
"2025-08-20 13:30",563.95,565.15,563.92,565.0549,1.1049,+0.20%,410614
"2025-08-20 13:25",563.84,564.04,563.68,563.95,0.0901,+0.02%,246916
"2025-08-20 13:20",564.12,564.51,563.8,563.8599,-0.2601,-0.05%,287144
