<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QQQ.US,5,20240809,132500,450.585,451.64,450.585,451.64,334946,0
QQQ.US,5,20240809,133000,451.64,452.06,451.3,451.715,439974,0
QQQ.US,5,20240809,133500,451.7184,451.96,451.45,451.71,277314,0
QQQ.US,5,20240809,134000,451.72,451.87,450.96,451.19,456238,0
QQQ.US,5,20240809,134500,451.205,451.39,450.83,450.995,268474,0
QQQ.US,5,20240809,135000,451.02,451.158,450.03,450.3,382813,0
QQQ.US,5,20240809,135500,450.34,450.61,450.225,450.49,127797,0
QQQ.US,5,20240809,140000,450.52,450.97,450.18,450.5525,161139,0
QQQ.US,5,20240809,140500,450.47,450.88,450.38,450.83,158136,0
QQQ.US,5,20240809,141000,450.83,450.87,449.55,450.012,276882,0
QQQ.US,5,20240809,141500,450.02,450.23,449.72,450.19,168630,0
QQQ.US,5,20240809,142000,450.2,450.22,449.67,449.7,133968,0
QQQ.US,5,20240809,142500,449.7,450.11,449.51,450.0,180154,0
QQQ.US,5,20240809,143000,450.0,450.22,449.52,449.702,182751,0
QQQ.US,5,20240809,143500,449.72,450.2991,449.42,450.21,158506,0
QQQ.US,5,20240809,144000,450.18,450.465,450.03,450.2695,141833,0
QQQ.US,5,20240809,144500,450.25,450.62,450.14,450.24,165299,0
QQQ.US,5,20240809,145000,450.28,450.36,449.54,449.8,125335,0
QQQ.US,5,20240809,145500,449.79,450.24,449.44,450.15,195601,0
QQQ.US,5,20240809,150000,450.15,450.32,449.5,449.7,222195,0
QQQ.US,5,20240809,150500,449.69,450.43,449.69,450.28,169505,0
QQQ.US,5,20240809,151000,450.28,450.66,450.21,450.45,155813,0
QQQ.US,5,20240809,151500,450.47,450.94,450.41,450.87,195488,0
QQQ.US,5,20240809,152000,450.89,450.89,449.83,450.23,224278,0
QQQ.US,5,20240809,152500,450.24,450.7,450.1,450.48,225039,0
QQQ.US,5,20240809,153000,450.475,450.96,450.44,450.63,225863,0
QQQ.US,5,20240809,153500,450.63,451.09,450.41,450.48,356313,0
QQQ.US,5,20240809,154000,450.5,450.98,450.26,450.44,291151,0
QQQ.US,5,20240809,154500,450.46,450.93,450.39,450.77,354072,0
QQQ.US,5,20240809,155000,450.75,450.93,449.73,450.03,559426,0
QQQ.US,5,20240809,155500,450.03,450.98,449.79,450.41,1852579,0
QQQ.US,5,20240812,093000,451.39,452.06,451.2,452.03,659790,0
QQQ.US,5,20240812,093500,452.05,452.14,450.67,450.91,568787,0
QQQ.US,5,20240812,094000,451.0,451.1299,449.32,449.4649,833718,0
QQQ.US,5,20240812,094500,449.52,449.74,448.83,449.2,547970,0
QQQ.US,5,20240812,095000,449.23,450.19,449.19,449.83,338814,0
QQQ.US,5,20240812,095500,449.806,450.02,448.5546,448.96,337129,0
QQQ.US,5,20240812,100000,448.97,449.86,448.74,449.775,420380,0
QQQ.US,5,20240812,100500,449.79,451.42,449.57,451.33,461768,0
QQQ.US,5,20240812,101000,451.29,451.84,451.03,451.7601,313381,0
QQQ.US,5,20240812,101500,451.79,452.39,451.63,452.1555,434745,0
QQQ.US,5,20240812,102000,452.18,453.13,452.13,452.87,296945,0
QQQ.US,5,20240812,102500,452.88,453.46,452.54,452.71,384697,0
QQQ.US,5,20240812,103000,452.72,453.16,452.57,453.12,209558,0
QQQ.US,5,20240812,103500,453.17,453.76,452.98,453.47,322490,0
QQQ.US,5,20240812,104000,453.5098,453.81,453.0,453.01,325247,0
QQQ.US,5,20240812,104500,452.98,453.74,452.86,453.63,300400,0
QQQ.US,5,20240812,105000,453.59,453.59,453.06,453.25,198699,0
QQQ.US,5,20240812,105500,453.23,453.5692,452.91,453.45,190084,0
QQQ.US,5,20240812,110000,453.45,454.37,453.27,454.24,298062,0
QQQ.US,5,20240812,110500,454.21,454.21,453.6,453.7,224788,0
QQQ.US,5,20240812,111000,453.75,454.305,453.75,453.9299,187725,0
QQQ.US,5,20240812,111500,453.935,454.08,453.61,453.93,124222,0
QQQ.US,5,20240812,112000,453.95,454.01,450.11,450.14,804622,0
QQQ.US,5,20240812,112500,450.18,451.18,449.85,451.13,692200,0
QQQ.US,5,20240812,113000,451.11,451.11,450.19,450.78,353736,0
QQQ.US,5,20240812,113500,450.79,451.16,450.5,450.8,273486,0
QQQ.US,5,20240812,114000,450.82,451.28,450.49,451.2,297200,0
QQQ.US,5,20240812,114500,451.17,451.72,450.74,451.72,255213,0
QQQ.US,5,20240812,115000,451.72,452.695,451.59,452.63,280429,0
QQQ.US,5,20240812,115500,452.63,453.47,452.42,453.285,261784,0
QQQ.US,5,20240812,120000,453.28,453.56,452.83,452.95,300917,0
QQQ.US,5,20240812,120500,452.9895,453.09,452.35,452.955,197647,0
QQQ.US,5,20240812,121000,452.92,453.02,452.52,452.75,141124,0
QQQ.US,5,20240812,121500,452.81,452.89,452.2,452.49,143853,0
QQQ.US,5,20240812,122000,452.475,452.85,452.21,452.75,134581,0
QQQ.US,5,20240812,122500,452.72,452.9,452.37,452.675,121652,0
QQQ.US,5,20240812,123000,452.6,453.07,452.45,452.5399,108317,0
QQQ.US,5,20240812,123500,452.47,453.1,452.22,453.0466,148352,0
