,drop_range,up_count,down_count,up_pct,down_pct,total
0,100 to 99,22,13,62.857142857142854,37.142857142857146,35
1,99 to 98,0,4,0.0,100.0,4
2,98 to 97,1,0,100.0,0.0,1
3,97 to 96,0,3,0.0,100.0,3
4,96 to 95,2,2,50.0,50.0,4
5,95 to 94,2,1,66.66666666666666,33.33333333333333,3
6,94 to 93,0,1,0.0,100.0,1
7,93 to 92,0,1,0.0,100.0,1
8,92 to 91,0,1,0.0,100.0,1
9,91 to 90,0,2,0.0,100.0,2
10,90 to 89,1,3,25.0,75.0,4
11,89 to 88,0,2,0.0,100.0,2
12,88 to 87,1,2,33.33333333333333,66.66666666666666,3
13,87 to 86,0,2,0.0,100.0,2
14,86 to 85,1,4,20.0,80.0,5
15,85 to 84,2,1,66.66666666666666,33.33333333333333,3
16,84 to 83,2,5,28.57142857142857,71.42857142857143,7
17,83 to 82,1,3,25.0,75.0,4
18,82 to 81,4,4,50.0,50.0,8
19,81 to 80,4,2,66.66666666666666,33.33333333333333,6
20,80 to 79,5,6,45.45454545454545,54.54545454545454,11
21,79 to 78,3,4,42.857142857142854,57.14285714285714,7
22,78 to 77,6,4,60.0,40.0,10
23,77 to 76,2,5,28.57142857142857,71.42857142857143,7
24,76 to 75,2,3,40.0,60.0,5
25,75 to 74,8,10,44.44444444444444,55.55555555555556,18
26,74 to 73,3,8,27.27272727272727,72.72727272727273,11
27,73 to 72,2,7,22.22222222222222,77.77777777777779,9
28,72 to 71,3,9,25.0,75.0,12
29,71 to 70,2,6,25.0,75.0,8
30,70 to 69,4,11,26.666666666666668,73.33333333333333,15
31,69 to 68,3,8,27.27272727272727,72.72727272727273,11
32,68 to 67,4,6,40.0,60.0,10
33,67 to 66,18,23,43.90243902439025,56.09756097560976,41
34,66 to 65,7,5,58.333333333333336,41.66666666666667,12
35,65 to 64,8,7,53.333333333333336,46.666666666666664,15
36,64 to 63,5,8,38.46153846153847,61.53846153846154,13
37,63 to 62,7,15,31.818181818181817,68.18181818181817,22
38,62 to 61,10,13,43.47826086956522,56.52173913043478,23
39,61 to 60,9,12,42.857142857142854,57.14285714285714,21
40,60 to 59,26,38,40.625,59.375,64
41,59 to 58,5,11,31.25,68.75,16
42,58 to 57,10,19,34.48275862068966,65.51724137931035,29
43,57 to 56,12,21,36.36363636363637,63.63636363636363,33
44,56 to 55,6,23,20.689655172413794,79.3103448275862,29
45,55 to 54,15,18,45.45454545454545,54.54545454545454,33
46,54 to 53,18,29,38.297872340425535,61.702127659574465,47
47,53 to 52,12,27,30.76923076923077,69.23076923076923,39
48,52 to 51,8,23,25.806451612903224,74.19354838709677,31
49,51 to 50,16,14,53.333333333333336,46.666666666666664,30
50,50 to 49,97,97,50.0,50.0,194
51,49 to 48,39,67,36.79245283018868,63.20754716981132,106
52,48 to 47,39,47,45.348837209302324,54.65116279069767,86
53,47 to 46,28,38,42.42424242424242,57.57575757575758,66
54,46 to 45,34,60,36.17021276595745,63.829787234042556,94
55,45 to 44,48,47,50.526315789473685,49.473684210526315,95
56,44 to 43,33,43,43.42105263157895,56.57894736842105,76
57,43 to 42,55,108,33.74233128834356,66.25766871165644,163
58,42 to 41,54,74,42.1875,57.8125,128
59,41 to 40,47,74,38.84297520661157,61.15702479338842,121
60,40 to 39,75,146,33.93665158371041,66.06334841628959,221
61,39 to 38,78,121,39.19597989949749,60.80402010050251,199
62,38 to 37,86,136,38.73873873873874,61.261261261261254,222
63,37 to 36,100,143,41.1522633744856,58.8477366255144,243
64,36 to 35,90,153,37.03703703703704,62.96296296296296,243
65,35 to 34,123,161,43.309859154929576,56.690140845070424,284
66,34 to 33,228,330,40.86021505376344,59.13978494623656,558
67,33 to 32,151,205,42.41573033707865,57.58426966292135,356
68,32 to 31,216,271,44.35318275154005,55.64681724845995,487
69,31 to 30,210,302,41.015625,58.984375,512
70,30 to 29,290,453,39.03095558546433,60.96904441453567,743
71,29 to 28,282,451,38.47203274215553,61.52796725784447,733
72,28 to 27,343,528,39.38002296211251,60.61997703788749,871
73,27 to 26,345,538,39.07134767836919,60.92865232163081,883
74,26 to 25,351,549,39.0,61.0,900
75,25 to 24,875,1017,46.24735729386892,53.752642706131084,1892
76,24 to 23,656,959,40.61919504643963,59.38080495356037,1615
77,23 to 22,882,1154,43.32023575638507,56.679764243614926,2036
78,22 to 21,1067,1448,42.42544731610338,57.57455268389662,2515
79,21 to 20,1144,1527,42.83040059902658,57.16959940097341,2671
80,20 to 19,2071,2424,46.0734149054505,53.926585094549495,4495
81,19 to 18,2080,2634,44.12388629613916,55.87611370386084,4714
82,18 to 17,2621,3225,44.83407458091002,55.16592541908998,5846
83,17 to 16,3400,3968,46.14549402823018,53.85450597176982,7368
84,16 to 15,4632,5262,46.816252274105516,53.183747725894484,9894
85,15 to 14,6148,6788,47.52628324056896,52.47371675943104,12936
86,14 to 13,7603,8159,48.23626443344754,51.76373556655247,15762
87,13 to 12,10212,10668,48.9080459770115,51.0919540229885,20880
88,12 to 11,14396,14239,50.27414003841453,49.72585996158547,28635
89,11 to 10,18545,17472,51.48957436765972,48.51042563234028,36017
90,10 to 9,28169,25424,52.56096878323662,47.43903121676338,53593
